station,network,n_meas,skp_N_mm,skp_E_mm,skp_U_mm,skp_3D_mm,bias_N_mm,bias_E_mm,bias_U_mm,bias_3D_mm,mean_nsat,std_nsat,category
LAMA,IGS,1,0,0,0,0,4.5,-0.3,-8.200000000000001,9.4,22.0,0,Неопределено
KOUR,IGS,1,0,0,0,0,6.1000000000000005,5.3,3.3,8.7,29.0,0,Неопределено
KRGG,IGS,1,0,0,0,0,-5.0,3.2,4.6,7.5,27.0,0,Неопределено
KOUG,IGS,1,0,0,0,0,7.4,6.3,8.200000000000001,12.7,29.0,0,Неопределено
LCK4,IGS,1,0,0,0,0,0.0,-2.6,14.6,14.8,27.0,0,Неопределено
LAUT,IGS,1,0,0,0,0,-1.0,6.5,-8.200000000000001,10.5,23.0,0,Неопределено
LEIJ,IGS,1,0,0,0,0,2.4,5.7,-1.2,6.3,24.0,0,Неопределено
LROC,IGS,1,0,0,0,0,2.9,6.6,-12.8,14.7,22.0,0,Неопределено
LMMF,IGS,1,0,0,0,0,2.6,-4.7,2.3,5.8,23.0,0,Неопределено
LPAL,IGS,1,0,0,0,0,6.8,5.6,-11.9,14.8,24.0,0,Неопределено
LPGS,IGS,1,0,0,0,0,-8.200000000000001,-21.5,-6.1000000000000005,23.8,21.0,0,Неопределено
M0SE,IGS,1,0,0,0,0,3.1,6.6,-16.0,17.6,23.0,0,Неопределено
MADR,IGS,1,0,0,0,0,1.3,6.0,-19.599999999999998,20.5,25.0,0,Неопределено
MAJU,IGS,1,0,0,0,0,2.7,-2.9,-3.4,5.2,25.0,0,Неопределено
MALL,IGS,1,0,0,0,0,0.8,7.8,-22.1,23.5,21.0,0,Неопределено
MARS,IGS,1,0,0,0,0,2.8,2.8,-30.0,30.200000000000003,21.0,0,Неопределено
MAS1,IGS,1,0,0,0,0,4.8,5.4,-16.0,17.5,28.0,0,Неопределено
MAR6,IGS,1,0,0,0,0,8.9,3.8,-19.400000000000002,21.7,21.0,0,Неопределено
MAL2,IGS,1,0,0,0,0,4.4,5.0,-0.8,6.7,26.0,0,Неопределено
MAR7,IGS,1,0,0,0,0,7.9,2.7,-13.799999999999999,16.1,21.0,0,Неопределено
MAT1,IGS,1,0,0,0,0,2.9,5.7,-18.700000000000003,19.8,17.0,0,Неопределено
MATE,IGS,1,0,0,0,0,2.2,3.3,-13.799999999999999,14.3,20.0,0,Неопределено
MATG,IGS,1,0,0,0,0,3.0,4.5,-17.8,18.599999999999998,20.0,0,Неопределено
MELI,IGS,1,0,0,0,0,-3.9,6.6,-10.9,13.4,21.0,0,Неопределено
MEDI,IGS,1,0,0,0,0,0.3,0.6,-20.2,20.2,17.0,0,Неопределено
MERS,IGS,1,0,0,0,0,1.8,-7.5,-18.1,19.599999999999998,21.0,0,Неопределено
MCM4,IGS,1,0,0,0,0,-8.1,-1.2,-44.6,45.3,31.0,0,Неопределено
MDO1,IGS,1,0,0,0,0,4.3,-2.6,0.8,5.1000000000000005,23.0,0,Неопределено
MBAR,IGS,1,0,0,0,0,4.6,0.3,-13.700000000000001,14.4,26.0,0,Неопределено
MCHL,IGS,1,0,0,0,0,-4.7,-7.3,-6.0,10.6,25.0,0,Неопределено
MET3,IGS,1,0,0,0,0,7.5,-1.1,-7.5,10.7,25.0,0,Неопределено
MGUE,IGS,1,0,0,0,0,-11.2,-439.0,-17.6,439.5,28.0,0,Неопределено
METG,IGS,1,0,0,0,0,7.9,0.5,-11.299999999999999,13.799999999999999,25.0,0,Неопределено
MIKL,IGS,1,0,0,0,0,-0.1,7.3,-16.8,18.3,18.0,0,Неопределено
MKEA,IGS,1,0,0,0,0,-3.3,2.1,2.2,4.5,27.0,0,Неопределено
MIZU,IGS,1,0,0,0,0,-665.0,1548.1000000000001,-16.299999999999997,1684.9,21.0,0,Неопределено
MOBS,IGS,1,0,0,0,0,-3.3,-6.5,2.0,7.6,27.0,0,Неопределено
MRC1,IGS,1,0,0,0,0,6.4,-5.7,-10.8,13.700000000000001,21.0,0,Неопределено
MRO1,IGS,1,0,0,0,0,0.3,-1.3,3.3,3.5,26.0,0,Неопределено
NANO,IGS,1,0,0,0,0,-2.9,4.1000000000000005,-1.6,5.2,25.0,0,Неопределено
NICO,IGS,1,0,0,0,0,1.6,6.1000000000000005,-17.8,18.9,21.0,0,Неопределено
NAUS,IGS,1,0,0,0,0,9.5,1.7,15.0,17.8,26.0,0,Неопределено
NAUR,IGS,1,0,0,0,0,4.7,-0.1,-11.2,12.1,27.0,0,Неопределено
NLIB,IGS,1,0,0,0,0,1.1,-4.2,-1.1,4.5,18.0,0,Неопределено
NIST,IGS,1,0,0,0,0,3.4,-0.7,0.6,3.5,19.0,0,Неопределено
NIUM,IGS,1,0,0,0,0,8.4,-17.8,3.0,19.900000000000002,25.0,0,Неопределено
NOT1,IGS,1,0,0,0,0,-1.9,6.5,-17.8,19.0,18.0,0,Неопределено
