station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
ABMF,22,0.015005,0.007123,0.005,0.0296,0.001519,0.009,0.005678,-0.002973,0.006652,-0.003214,0.010259,21.045455,2.935453,13,26,141.109091,49.945531,1.0,0.005678,0.006652,0.010259,0.007123,Высокоточные (5-8 мм)
AGGO,24,0.011712,0.007454,0.0033,0.0288,0.001522,-0.000196,0.004817,0.001204,0.005276,0.006638,0.010006,20.708333,2.896462,9,24,153.8375,40.222412,1.208333,0.004817,0.005276,0.010006,0.007454,Высокоточные (5-8 мм)
AJAC,24,0.014458,0.006346,0.0036,0.0282,0.001295,0.003071,0.002927,0.003996,0.004072,-0.012371,0.006847,22.375,1.929463,18,26,161.008333,39.59217,1.0,0.002927,0.004072,0.006847,0.006346,Высокоточные (5-8 мм)
ALAC,24,0.011642,0.005353,0.0034,0.0221,0.001093,0.000933,0.002506,0.005783,0.005302,-0.00775,0.006108,22.791667,1.933215,20,28,154.9625,34.752839,1.0,0.002506,0.005302,0.006108,0.005353,Высокоточные (5-8 мм)
ALBH,24,0.007688,0.003157,0.0021,0.0153,0.000644,0.00295,0.003067,-0.002571,0.003258,-0.000775,0.00592,22.125,3.207498,16,27,184.9,37.705091,1.0,0.003067,0.003258,0.00592,0.003157,Прецизионные (3-5 мм)
ALGO,24,0.011488,0.003991,0.0049,0.0219,0.000815,0.005429,0.00332,0.005071,0.004271,-0.004704,0.006586,23.583333,2.145099,19,26,183.1,42.384021,1.0,0.00332,0.004271,0.006586,0.003991,Прецизионные (3-5 мм)
ALIC,24,0.014788,0.005731,0.005,0.0264,0.00117,0.000208,0.004651,-0.002225,0.00691,0.011379,0.007198,23.458333,5.090308,13,29,161.733333,81.278451,1.208333,0.004651,0.00691,0.007198,0.005731,Высокоточные (5-8 мм)
AMC4,23,0.010365,0.005785,0.0029,0.0227,0.001206,0.0001,0.002422,0.001757,0.002885,0.008761,0.006938,21.043478,2.142179,15,25,193.456522,30.189204,1.0,0.002422,0.002885,0.006938,0.005785,Высокоточные (5-8 мм)
ANMG,24,0.013288,0.005805,0.0056,0.0296,0.001185,0.003,0.00453,0.004017,0.006214,0.001212,0.011442,20.291667,2.645409,14,24,174.495833,66.443912,1.0,0.00453,0.006214,0.011442,0.005805,Высокоточные (5-8 мм)
ARHT,25,0.027264,0.00756,0.0105,0.0435,0.001512,-0.001308,0.005159,-0.004828,0.002426,-0.024704,0.011758,25.32,5.305029,9,33,194.96,65.451553,1.2,0.005159,0.002426,0.011758,0.00756,Высокоточные (5-8 мм)
ARUC,23,0.01267,0.002331,0.0076,0.017,0.000486,0.001178,0.001985,0.003187,0.003909,-0.011265,0.003045,24.173913,1.613922,21,27,188.269565,31.077066,1.0,0.001985,0.003909,0.003045,0.002331,Экстра-прецизионные (< 3 мм)
ASCG,26,0.010488,0.004156,0.0037,0.0189,0.000815,0.004069,0.002444,0.003615,0.003873,0.002558,0.008534,22.461538,3.478284,15,28,176.438462,44.226671,1.0,0.002444,0.003873,0.008534,0.004156,Прецизионные (3-5 мм)
BADG,21,0.020124,0.006793,0.0096,0.0379,0.001482,0.002567,0.001604,0.001362,0.003261,-0.0195,0.007059,24.857143,2.286607,19,28,185.671429,31.775606,1.0,0.001604,0.003261,0.007059,0.006793,Высокоточные (5-8 мм)
BAIE,20,0.011855,0.006291,0.0014,0.0242,0.001407,0.00186,0.002383,0.00061,0.00572,0.009815,0.006595,14.1,2.100125,10,17,75.585,26.46798,1.0,0.002383,0.00572,0.006595,0.006291,Высокоточные (5-8 мм)
BAKE,26,0.00945,0.004517,0.0035,0.0194,0.000886,-0.001162,0.00236,0.004435,0.003118,-0.001142,0.008637,25.769231,2.746746,17,30,200.642308,51.020335,1.0,0.00236,0.003118,0.008637,0.004517,Прецизионные (3-5 мм)
BAMF,25,0.012088,0.003385,0.0058,0.0206,0.000677,0.00644,0.00288,0.004324,0.005059,0.000804,0.008163,21.32,3.210919,15,27,158.036,48.908834,1.0,0.00288,0.005059,0.008163,0.003385,Прецизионные (3-5 мм)
BELE,26,0.027962,0.009618,0.0112,0.0495,0.001886,0.005808,0.006921,-0.000658,0.005881,0.025569,0.010423,14.884615,2.286078,10,18,144.542308,40.762357,1.0,0.006921,0.005881,0.010423,0.009618,Средней точности (8-12 мм)
BIK0,23,0.023461,0.008421,0.0121,0.0443,0.001756,-0.0004,0.002682,-0.001257,0.003643,-0.022948,0.008533,25.347826,2.268534,19,29,199.173913,24.571014,1.0,0.002682,0.003643,0.008533,0.008421,Средней точности (8-12 мм)
BOAV,22,0.012441,0.003301,0.0072,0.0192,0.000704,0.006259,0.00349,0.002573,0.00469,0.007577,0.005572,23.181818,2.061815,19,26,198.277273,12.34442,1.0,0.00349,0.00469,0.005572,0.003301,Прецизионные (3-5 мм)
BOGI,22,0.017505,0.005702,0.0047,0.0305,0.001216,0.004768,0.003328,0.001086,0.00513,0.015586,0.006101,19.5,1.896111,15,22,132.636364,40.130615,1.0,0.003328,0.00513,0.006101,0.005702,Высокоточные (5-8 мм)
BOGT,23,0.009448,0.003115,0.0039,0.0158,0.00065,0.003783,0.002057,0.003926,0.004546,5.2e-05,0.006849,22.73913,2.300541,17,27,157.734783,37.441538,1.0,0.002057,0.004546,0.006849,0.003115,Прецизионные (3-5 мм)
BOR1,23,0.008035,0.003781,0.0024,0.018,0.000788,0.002978,0.003071,0.002974,0.00452,-0.001874,0.005436,24.391304,1.698639,21,28,190.534783,26.236054,1.0,0.003071,0.00452,0.005436,0.003781,Прецизионные (3-5 мм)
BRAZ,25,0.012104,0.006865,0.0026,0.0292,0.001373,0.000556,0.004941,0.000124,0.006662,0.003332,0.010904,18.52,2.55147,14,24,156.364,46.246143,1.0,0.004941,0.006662,0.010904,0.006865,Высокоточные (5-8 мм)
BREW,24,0.008358,0.003553,0.0024,0.0151,0.000725,0.002679,0.002812,0.003983,0.004491,0.001704,0.00553,23.083333,2.811725,17,29,181.629167,55.330198,1.0,0.002812,0.004491,0.00553,0.003553,Прецизионные (3-5 мм)
BRST,25,0.00984,0.005689,0.0012,0.0257,0.001138,0.001944,0.003533,0.00138,0.005388,-0.005276,0.007524,24.84,2.115026,20,28,189.152,39.674951,1.0,0.003533,0.005388,0.007524,0.005689,Высокоточные (5-8 мм)
BRUX,24,0.012004,0.005614,0.0032,0.0236,0.001146,0.004296,0.004701,0.001404,0.004323,-0.008583,0.006582,26.666667,2.258639,22,30,204.579167,19.97753,1.0,0.004701,0.004323,0.006582,0.005614,Высокоточные (5-8 мм)
BSHM,26,0.016223,0.005099,0.0106,0.0299,0.001,0.004138,0.003259,0.000546,0.004774,-0.014454,0.005593,23.269231,2.631466,15,26,182.892308,48.36951,1.192308,0.003259,0.004774,0.005593,0.005099,Высокоточные (5-8 мм)
BUCU,22,0.017482,0.01004,0.0025,0.0419,0.00214,0.000627,0.004887,-0.000391,0.006696,-0.010536,0.015332,22.136364,2.273982,16,25,137.781818,59.925991,1.454545,0.004887,0.006696,0.015332,0.01004,Средней точности (8-12 мм)
CACE,23,0.014304,0.008218,0.0048,0.0373,0.001714,9.1e-05,0.002432,0.004578,0.005059,-0.007817,0.012799,22.130435,2.801044,14,27,120.813043,38.346356,1.0,0.002432,0.005059,0.012799,0.008218,Средней точности (8-12 мм)
CANT,20,0.0146,0.006891,0.006,0.0263,0.001541,0.003155,0.003206,2.5e-05,0.004911,0.012595,0.007743,19.15,2.539685,14,24,122.13,35.752543,1.0,0.003206,0.004911,0.007743,0.006891,Высокоточные (5-8 мм)
CAS1,26,0.020112,0.006539,0.0092,0.0322,0.001282,0.002508,0.005804,-0.002342,0.004326,-0.016212,0.011209,24.423077,4.640458,9,30,177.161538,72.128203,1.192308,0.005804,0.004326,0.011209,0.006539,Высокоточные (5-8 мм)
CCJ2,24,0.015267,0.009327,0.0032,0.0335,0.001904,0.003696,0.004043,-0.000171,0.00622,-0.010775,0.011838,17.375,2.856153,13,22,105.091667,64.60819,2.041667,0.004043,0.00622,0.011838,0.009327,Средней точности (8-12 мм)
CEBR,25,0.013844,0.005827,0.0036,0.027,0.001165,0.002304,0.002399,0.005548,0.004857,-0.01094,0.006427,25.04,2.335951,20,29,186.032,23.752732,1.0,0.002399,0.004857,0.006427,0.005827,Высокоточные (5-8 мм)
CEDU,24,0.015304,0.010808,0.0026,0.042,0.002206,-0.001242,0.005323,-0.004192,0.010767,0.003354,0.013624,21.291667,5.025839,10,29,137.5,82.873161,1.208333,0.005323,0.010767,0.013624,0.010808,Средней точности (8-12 мм)
CHPG,23,0.010578,0.006891,0.0028,0.028,0.001437,7e-05,0.00353,-0.003483,0.005843,-0.002261,0.009998,17.73913,2.700461,9,21,138.434783,44.04488,1.217391,0.00353,0.005843,0.009998,0.006891,Высокоточные (5-8 мм)
CHPI,23,0.010461,0.004752,0.0034,0.0234,0.000991,0.001778,0.004167,-0.001583,0.006006,-0.001843,0.008622,20.347826,2.144945,17,24,198.530435,20.799988,1.0,0.004167,0.006006,0.008622,0.004752,Прецизионные (3-5 мм)
CHUR,26,0.01495,0.006848,0.0052,0.0319,0.001343,0.004173,0.002319,0.007488,0.003706,-0.008946,0.010017,25.038462,2.521599,20,30,201.546154,40.639166,1.0,0.002319,0.003706,0.010017,0.006848,Высокоточные (5-8 мм)
CHWK,24,0.009196,0.003769,0.0018,0.0174,0.000769,0.002342,0.002528,0.002021,0.003941,0.006988,0.004471,19.375,2.42832,16,27,175.0,33.821077,1.0,0.002528,0.003941,0.004471,0.003769,Прецизионные (3-5 мм)
CIBG,22,0.01365,0.00949,0.0033,0.0421,0.002023,0.000245,0.005614,-0.002332,0.008221,0.003164,0.013056,23.818182,3.672762,16,29,174.25,64.549219,1.0,0.005614,0.008221,0.013056,0.00949,Средней точности (8-12 мм)
CKIS,24,0.015354,0.007515,0.0036,0.0328,0.001534,0.004812,0.005497,-0.000425,0.007804,0.007354,0.01143,19.583333,4.871538,5,25,147.466667,80.701305,1.833333,0.005497,0.007804,0.01143,0.007515,Высокоточные (5-8 мм)
CMUM,26,0.020096,0.00834,0.0079,0.0385,0.001636,0.0068,0.002592,0.000504,0.007023,-0.015423,0.01181,17.384615,2.786782,10,22,75.861538,50.613058,1.192308,0.002592,0.007023,0.01181,0.00834,Средней точности (8-12 мм)
COCO,23,0.02963,0.008348,0.02,0.0519,0.001741,0.018365,0.007328,0.015322,0.005242,0.002461,0.01741,23.391304,3.689532,14,31,180.643478,68.246344,1.0,0.007328,0.005242,0.01741,0.008348,Средней точности (8-12 мм)
CORD,23,0.023961,0.004295,0.0154,0.032,0.000895,0.00063,0.004105,-0.022948,0.004157,0.000813,0.005737,22.173913,3.713026,8,27,173.017391,54.084947,1.434783,0.004105,0.004157,0.005737,0.004295,Прецизионные (3-5 мм)
CPVG,26,0.011838,0.005926,0.0037,0.0257,0.001162,0.005185,0.004227,0.00215,0.005053,-0.006304,0.007973,23.461538,2.249102,19,27,168.907692,43.824239,1.0,0.004227,0.005053,0.007973,0.005926,Высокоточные (5-8 мм)
CRO1,26,0.013181,0.006219,0.001,0.0266,0.00122,0.007777,0.003816,0.001885,0.005118,0.005869,0.008742,21.192308,1.855138,17,26,155.992308,47.20638,1.0,0.003816,0.005118,0.008742,0.006219,Высокоточные (5-8 мм)
CUIB,23,0.009457,0.002057,0.0056,0.0129,0.000429,0.002974,0.002475,-0.001826,0.00495,-5.7e-05,0.007359,23.869565,2.436547,17,28,197.13913,29.063563,1.0,0.002475,0.00495,0.007359,0.002057,Экстра-прецизионные (< 3 мм)
CUSV,20,0.018025,0.006604,0.0097,0.0365,0.001477,0.01231,0.002035,0.000245,0.003456,-0.01124,0.008725,21.9,2.38195,19,26,160.345,52.271674,1.0,0.002035,0.003456,0.008725,0.006604,Высокоточные (5-8 мм)
CYNE,24,0.019492,0.00771,0.0064,0.0398,0.001574,0.013496,0.007412,0.004712,0.007456,0.00115,0.011448,22.166667,2.565095,15,26,187.133333,41.037593,1.0,0.007412,0.007456,0.011448,0.00771,Высокоточные (5-8 мм)
DARW,25,0.013148,0.006201,0.0031,0.0263,0.00124,0.001812,0.004064,-0.002612,0.007396,0.003172,0.011216,22.92,5.227491,13,30,173.436,81.07847,1.2,0.004064,0.007396,0.011216,0.006201,Высокоточные (5-8 мм)
DGAR,23,0.014765,0.004789,0.0073,0.0248,0.000999,0.001404,0.00354,0.010709,0.004886,-0.0014,0.009501,23.478261,2.842367,17,27,192.073913,51.477305,1.0,0.00354,0.004886,0.009501,0.004789,Прецизионные (3-5 мм)
DJIG,24,0.007954,0.00412,0.0025,0.0163,0.000841,0.002358,0.001736,-0.001588,0.003629,-0.004767,0.005866,27.625,1.582857,24,31,217.2,24.422833,1.0,0.001736,0.003629,0.005866,0.00412,Прецизионные (3-5 мм)
DLF1,26,0.008862,0.00422,0.0021,0.0171,0.000828,0.003727,0.003509,0.001369,0.004245,-0.003215,0.006482,25.384615,2.246365,19,29,194.673077,41.861472,1.0,0.003509,0.004245,0.006482,0.00422,Прецизионные (3-5 мм)
DRAO,23,0.007739,0.002277,0.0035,0.014,0.000475,0.00167,0.003062,0.003461,0.003656,-0.00177,0.005153,22.304348,3.021661,15,27,183.852174,50.153835,1.0,0.003062,0.003656,0.005153,0.002277,Экстра-прецизионные (< 3 мм)
DUBO,23,0.0076,0.003095,0.0026,0.0144,0.000645,0.001409,0.002985,0.000691,0.003024,-0.000735,0.006981,22.391304,2.709229,18,28,189.217391,41.365056,1.0,0.002985,0.003024,0.006981,0.003095,Прецизионные (3-5 мм)
DUMG,20,0.0213,0.005013,0.0126,0.0288,0.001121,-0.00218,0.004378,-0.00311,0.005884,-0.019245,0.006631,25.6,3.152276,20,30,177.275,69.987148,1.0,0.004378,0.005884,0.006631,0.005013,Высокоточные (5-8 мм)
DYNG,24,0.013558,0.006194,0.003,0.027,0.001264,0.001438,0.002593,0.000175,0.005032,-0.011896,0.006914,23.625,1.279011,21,27,189.220833,39.780856,1.208333,0.002593,0.005032,0.006914,0.006194,Высокоточные (5-8 мм)
EBRE,3,0.008167,0.002454,0.0067,0.011,0.001417,0.002,0.000529,-0.003067,0.006212,-0.004733,0.00365,23.666667,1.527525,22,25,202.6,17.013818,1.0,0.000529,0.006212,0.00365,0.002454,Экстра-прецизионные (< 3 мм)
EUR2,26,0.009815,0.004553,0.0014,0.0193,0.000893,-0.003377,0.00306,0.001496,0.003486,-0.007185,0.005607,27.384615,2.041116,23,31,217.761538,39.582098,1.0,0.00306,0.003486,0.005607,0.004553,Прецизионные (3-5 мм)
FALK,24,0.011683,0.004748,0.0042,0.0236,0.000969,-0.003796,0.003412,-0.002904,0.00377,-0.008808,0.005832,23.291667,2.031901,19,27,184.470833,20.527531,1.0,0.003412,0.00377,0.005832,0.004748,Прецизионные (3-5 мм)
FFMJ,25,0.008324,0.00288,0.0041,0.0146,0.000576,0.00132,0.003949,0.000624,0.00408,-0.00448,0.00499,26.12,2.06801,22,30,205.268,34.507423,1.0,0.003949,0.00408,0.00499,0.00288,Экстра-прецизионные (< 3 мм)
FLIN,26,0.015923,0.005207,0.0063,0.0267,0.001021,4.2e-05,0.004195,0.009381,0.003528,-0.006781,0.011021,24.0,2.8,19,30,198.911538,40.345818,1.0,0.004195,0.003528,0.011021,0.005207,Высокоточные (5-8 мм)
FRDN,25,0.009564,0.003742,0.0027,0.0183,0.000748,0.001596,0.002923,0.001848,0.003967,-0.006604,0.005725,23.6,2.198484,20,28,189.32,28.162105,1.0,0.002923,0.003967,0.005725,0.003742,Прецизионные (3-5 мм)
GAMB,24,0.014175,0.006614,0.0023,0.0282,0.00135,-0.001729,0.004776,-0.00445,0.005245,-0.008375,0.010323,18.25,3.802173,11,25,127.483333,63.88486,1.416667,0.004776,0.005245,0.010323,0.006614,Высокоточные (5-8 мм)
GAMG,25,0.018696,0.005882,0.0081,0.0331,0.001176,0.003848,0.003228,0.002372,0.005241,-0.017012,0.006221,21.04,1.903506,18,25,166.752,53.603771,1.0,0.003228,0.005241,0.006221,0.005882,Высокоточные (5-8 мм)
GANP,21,0.006938,0.002385,0.0016,0.0102,0.000521,0.001786,0.002926,0.000481,0.003484,-0.00291,0.004828,22.857143,1.621287,20,25,201.290476,22.263982,1.0,0.002926,0.003484,0.004828,0.002385,Экстра-прецизионные (< 3 мм)
GENO,26,0.014073,0.006164,0.0027,0.0266,0.001209,-0.000842,0.002929,0.004119,0.005029,-0.0112,0.00781,20.461538,1.88108,17,24,119.807692,41.825274,1.192308,0.002929,0.005029,0.00781,0.006164,Высокоточные (5-8 мм)
GLPS,26,0.010369,0.003683,0.0038,0.0174,0.000722,-0.000777,0.00259,0.002358,0.005094,-0.006454,0.006564,24.653846,4.019376,10,30,173.503846,56.3411,1.192308,0.00259,0.005094,0.006564,0.003683,Прецизионные (3-5 мм)
GLSV,21,0.007967,0.002842,0.0029,0.0127,0.00062,-0.000486,0.003532,0.002924,0.003779,-0.000681,0.00619,23.333333,1.65328,20,26,121.266667,38.32073,1.0,0.003532,0.003779,0.00619,0.002842,Экстра-прецизионные (< 3 мм)
GMSD,21,0.02191,0.005002,0.011,0.0329,0.001092,0.01311,0.002729,-0.003662,0.00491,-0.014281,0.009388,17.904762,2.256208,12,20,121.938095,57.548106,1.238095,0.002729,0.00491,0.009388,0.005002,Высокоточные (5-8 мм)
GODE,25,0.01456,0.005277,0.0058,0.026,0.001055,0.00552,0.002471,0.003032,0.003268,-0.01058,0.008604,23.36,2.497999,18,27,178.616,41.649997,1.0,0.002471,0.003268,0.008604,0.005277,Высокоточные (5-8 мм)
GODN,21,0.0104,0.004449,0.0039,0.0206,0.000971,0.003529,0.002274,0.000324,0.004501,-0.006267,0.007305,22.952381,1.986862,18,26,199.019048,29.513736,1.0,0.002274,0.004501,0.007305,0.004449,Прецизионные (3-5 мм)
GODS,22,0.012686,0.005721,0.0051,0.0238,0.00122,0.005364,0.002951,0.001536,0.003766,-0.007759,0.009099,23.727273,2.05129,19,26,192.222727,43.11864,1.0,0.002951,0.003766,0.009099,0.005721,Высокоточные (5-8 мм)
GOP6,27,0.011533,0.005092,0.0029,0.0201,0.00098,0.001163,0.004194,0.001915,0.005121,-0.007919,0.00703,25.074074,2.319249,19,29,178.333333,55.505142,1.185185,0.004194,0.005121,0.00703,0.005092,Высокоточные (5-8 мм)
GOPE,25,0.00778,0.004167,0.0015,0.018,0.000833,0.002028,0.003191,0.001004,0.004251,-0.003932,0.005572,23.88,2.06801,18,28,197.608,41.966821,1.0,0.003191,0.004251,0.005572,0.004167,Прецизионные (3-5 мм)
GRAC,22,0.011109,0.009847,0.0024,0.0328,0.002099,-0.000355,0.003034,0.002214,0.005278,0.002509,0.013305,22.136364,1.958995,18,26,159.736364,48.557345,1.0,0.003034,0.005278,0.013305,0.009847,Средней точности (8-12 мм)
GRAS,21,0.012348,0.004927,0.0059,0.0225,0.001075,0.000462,0.003363,0.003405,0.00453,-0.010167,0.00564,22.380952,2.355338,18,26,151.57619,49.782586,1.238095,0.003363,0.00453,0.00564,0.004927,Прецизионные (3-5 мм)
GRAZ,22,0.008882,0.004528,0.0017,0.022,0.000965,0.001018,0.003018,0.002586,0.003772,-0.00585,0.005967,22.863636,1.612317,20,26,163.031818,38.106072,1.0,0.003018,0.003772,0.005967,0.004528,Прецизионные (3-5 мм)
GUAM,21,0.01441,0.009579,0.0034,0.0312,0.00209,-0.001019,0.003223,-0.002281,0.009476,0.002505,0.014027,20.047619,3.412861,14,25,154.97619,85.298475,1.0,0.003223,0.009476,0.014027,0.009579,Средней точности (8-12 мм)
HAL1,23,0.008548,0.005456,0.001,0.0225,0.001138,0.001539,0.003327,-0.001622,0.006314,0.005165,0.00471,22.695652,3.469802,14,27,153.269565,60.67647,1.217391,0.003327,0.006314,0.00471,0.005456,Высокоточные (5-8 мм)
HARB,25,0.010024,0.004929,0.0021,0.0186,0.000986,-0.001284,0.003714,-0.000304,0.003339,0.007112,0.007022,25.6,2.43242,20,31,196.54,51.667156,1.0,0.003714,0.003339,0.007022,0.004929,Прецизионные (3-5 мм)
HERS,24,0.008988,0.004835,0.0013,0.0188,0.000987,0.001321,0.003228,0.001767,0.004892,-0.005379,0.006166,26.416667,2.244155,20,30,196.5125,28.774933,1.0,0.003228,0.004892,0.006166,0.004835,Прецизионные (3-5 мм)
HERT,25,0.011052,0.004117,0.0041,0.0198,0.000823,0.001464,0.003275,0.003328,0.005757,0.006552,0.00649,16.12,1.053565,14,19,92.0,26.74084,1.0,0.003275,0.005757,0.00649,0.004117,Прецизионные (3-5 мм)
HKSL,26,0.014804,0.008152,0.0019,0.0328,0.001599,0.001773,0.002407,0.003846,0.005845,-0.011769,0.00954,20.423077,2.248076,15,23,143.226923,57.999969,1.0,0.002407,0.005845,0.00954,0.008152,Средней точности (8-12 мм)
HKWS,22,0.011159,0.005026,0.0037,0.0246,0.001072,0.004045,0.002651,0.002141,0.005195,-0.006695,0.007296,20.727273,2.229282,16,24,153.354545,56.068918,1.0,0.002651,0.005195,0.007296,0.005026,Высокоточные (5-8 мм)
HLFX,26,0.012062,0.005184,0.0038,0.0253,0.001017,0.001069,0.00324,0.003638,0.004512,-0.009338,0.006435,23.961538,2.271225,18,28,178.480769,38.722046,1.0,0.00324,0.004512,0.006435,0.005184,Высокоточные (5-8 мм)
HOB2,23,0.012304,0.005881,0.006,0.0286,0.001226,-0.004035,0.004446,-0.007087,0.005347,0.004613,0.007262,24.478261,4.746957,15,30,173.995652,71.513002,1.0,0.004446,0.005347,0.007262,0.005881,Высокоточные (5-8 мм)
HOFN,25,0.011512,0.004488,0.0052,0.022,0.000898,0.000272,0.003777,0.004548,0.00534,0.002012,0.00947,25.4,1.936492,20,29,200.584,35.14152,1.0,0.003777,0.00534,0.00947,0.004488,Прецизионные (3-5 мм)
HOLB,24,0.008733,0.002788,0.0046,0.0133,0.000569,0.002154,0.003392,0.0036,0.004292,0.004546,0.004191,24.416667,3.308969,17,29,188.375,45.682194,1.0,0.003392,0.004292,0.004191,0.002788,Экстра-прецизионные (< 3 мм)
HRAO,19,0.009116,0.002852,0.0036,0.0139,0.000654,0.004274,0.002976,-0.002332,0.003794,0.004758,0.00489,24.842105,2.500292,17,29,181.889474,36.420078,1.0,0.002976,0.003794,0.00489,0.002852,Экстра-прецизионные (< 3 мм)
IENG,21,0.012305,0.003275,0.006,0.0188,0.000715,0.001152,0.00332,0.004076,0.005991,-0.008748,0.004831,22.333333,2.309401,17,27,124.180952,53.357292,1.0,0.00332,0.005991,0.004831,0.003275,Прецизионные (3-5 мм)
IISC,20,0.017905,0.007971,0.0061,0.0351,0.001782,0.000445,0.00228,-0.001025,0.004551,-0.01724,0.007821,20.2,2.397367,16,24,111.61,40.915367,1.25,0.00228,0.004551,0.007821,0.007971,Высокоточные (5-8 мм)
IMPZ,24,0.012225,0.006002,0.0037,0.0277,0.001225,0.002433,0.003756,0.002896,0.0057,0.005667,0.009824,21.0,2.919202,13,26,187.691667,30.657163,1.0,0.003756,0.0057,0.009824,0.006002,Высокоточные (5-8 мм)
IQAL,22,0.007068,0.002328,0.0027,0.0121,0.000496,0.001405,0.003273,0.001986,0.003269,-0.002964,0.004601,26.909091,1.949581,24,31,214.845455,25.576398,1.0,0.003273,0.003269,0.004601,0.002328,Экстра-прецизионные (< 3 мм)
JCTW,14,0.017486,0.007262,0.0054,0.0326,0.001941,0.005329,0.007227,0.001207,0.008417,0.008614,0.012148,14.428571,1.650841,11,17,68.071429,33.041103,1.0,0.007227,0.008417,0.012148,0.007262,Высокоточные (5-8 мм)
JOG2,24,0.012488,0.006994,0.0035,0.0279,0.001428,-0.001142,0.004945,0.004812,0.006881,-0.003154,0.01019,23.208333,3.988889,17,31,175.179167,74.54961,1.0,0.004945,0.006881,0.01019,0.006994,Высокоточные (5-8 мм)
JOZ2,25,0.008268,0.003533,0.0026,0.0168,0.000707,0.003788,0.002943,0.001796,0.003284,-0.00334,0.005845,24.28,1.45831,22,27,200.368,22.477484,1.0,0.002943,0.003284,0.005845,0.003533,Прецизионные (3-5 мм)
JOZE,24,0.010796,0.002583,0.0062,0.0179,0.000527,0.006292,0.002686,0.002942,0.003858,0.0044,0.006008,24.166667,2.35292,16,28,194.5625,38.312614,1.0,0.002686,0.003858,0.006008,0.002583,Экстра-прецизионные (< 3 мм)
JPLM,22,0.006155,0.003345,0.0019,0.0147,0.000713,0.0018,0.002528,0.000191,0.003,0.001973,0.005297,20.909091,2.688761,14,26,160.781818,51.366439,1.0,0.002528,0.003,0.005297,0.003345,Прецизионные (3-5 мм)
KARR,10,0.01997,0.006958,0.0086,0.0296,0.0022,0.01156,0.00549,-0.00116,0.007047,0.01101,0.011351,23.4,3.806427,15,28,188.15,83.72199,1.5,0.00549,0.007047,0.011351,0.006958,Высокоточные (5-8 мм)
KAT1,26,0.015208,0.008387,0.0024,0.0298,0.001645,-0.003104,0.006683,-0.005308,0.006888,-0.001046,0.013357,23.346154,5.698718,11,31,171.269231,86.850616,1.0,0.006683,0.006888,0.013357,0.008387,Средней точности (8-12 мм)
KERG,26,0.013146,0.007604,0.0016,0.0289,0.001491,-0.003473,0.005418,-0.004319,0.005991,-0.007177,0.009312,20.307692,2.20489,16,25,147.446154,68.042782,1.0,0.005418,0.005991,0.009312,0.007604,Высокоточные (5-8 мм)
KIR0,23,0.007383,0.002501,0.0027,0.0114,0.000521,0.002209,0.002887,0.002248,0.002979,-0.001591,0.005747,26.826087,2.187821,22,30,211.513043,24.009511,1.0,0.002887,0.002979,0.005747,0.002501,Экстра-прецизионные (< 3 мм)
KIR8,27,0.011141,0.004849,0.0028,0.0216,0.000933,0.0029,0.002977,0.001726,0.005088,-0.002333,0.010002,26.0,3.0,16,30,200.051852,58.637605,1.0,0.002977,0.005088,0.010002,0.004849,Прецизионные (3-5 мм)
KIRI,23,0.011604,0.006516,0.0046,0.0302,0.001359,-0.000878,0.004763,-0.00337,0.00507,-0.003357,0.010509,22.913043,5.838065,8,29,179.634783,84.794568,1.217391,0.004763,0.00507,0.010509,0.006516,Высокоточные (5-8 мм)
KIRU,24,0.012475,0.005208,0.0031,0.021,0.001063,0.001583,0.002636,4e-06,0.003861,-0.010821,0.006528,28.041667,2.235663,23,31,215.466667,41.736447,1.0,0.002636,0.003861,0.006528,0.005208,Высокоточные (5-8 мм)
KIT3,24,0.011254,0.004071,0.0035,0.0192,0.000831,0.000983,0.002914,-0.002871,0.004015,-0.009475,0.004552,21.583333,2.145099,19,26,151.991667,32.225981,1.0,0.002914,0.004015,0.004552,0.004071,Прецизионные (3-5 мм)
KITG,24,0.014379,0.004068,0.009,0.0228,0.00083,0.001192,0.002373,-0.006433,0.003515,-0.012054,0.00428,24.833333,1.926174,21,28,181.679167,28.822364,1.0,0.002373,0.003515,0.00428,0.004068,Прецизионные (3-5 мм)
KOKB,21,0.016514,0.007689,0.0079,0.0346,0.001678,0.007681,0.00549,1.4e-05,0.00631,0.011114,0.00912,20.904762,3.2389,15,27,135.442857,69.7215,1.0,0.00549,0.00631,0.00912,0.007689,Высокоточные (5-8 мм)
KOKV,20,0.012995,0.005502,0.0061,0.0269,0.00123,0.00718,0.005357,0.001355,0.007025,0.00562,0.00634,19.75,3.958668,11,26,146.185,69.839841,1.0,0.005357,0.007025,0.00634,0.005502,Высокоточные (5-8 мм)
KOS1,25,0.009376,0.004494,0.0024,0.0174,0.000899,0.001404,0.004656,0.004384,0.004362,-0.001136,0.006898,26.6,2.327373,21,30,197.324,41.164247,1.0,0.004656,0.004362,0.006898,0.004494,Прецизионные (3-5 мм)
