station,n_meas,r3d_mean,r3d_std,r3d_min,r3d_max,r3d_sem,dN_mean,dN_std,dE_mean,dE_std,dU_mean,dU_std,nsat_mean,nsat_std,nsat_min,nsat_max,duration_mean,duration_std,q_mean,skp_N,skp_E,skp_U,skp_3D,category
PRDS,23,0.008591,0.00499,0.0016,0.0213,0.00104,0.000774,0.002691,0.000643,0.003701,0.001265,0.00884,22.130435,1.713697,19,25,171.373913,37.311407,1.0,0.002691,0.003701,0.00884,0.00499,Прецизионные (3-5 мм)
PTAG,14,0.018871,0.007483,0.0057,0.0309,0.002,0.004043,0.003739,-0.001286,0.005688,-0.012386,0.014468,19.714286,2.05421,15,22,148.557143,76.094675,1.714286,0.003739,0.005688,0.014468,0.007483,Высокоточные (5-8 мм)
PTBB,25,0.010768,0.004814,0.0026,0.0216,0.000963,0.002696,0.004823,0.00248,0.003954,-0.00574,0.00755,23.96,1.645195,20,26,164.568,45.986273,1.0,0.004823,0.003954,0.00755,0.004814,Прецизионные (3-5 мм)
PTGG,23,0.012874,0.006605,0.0034,0.0274,0.001377,0.001661,0.005611,8.7e-05,0.00758,-0.008757,0.00671,21.913043,2.843062,17,26,174.717391,71.684134,1.0,0.005611,0.00758,0.00671,0.006605,Высокоточные (5-8 мм)
QAQ1,25,0.007508,0.003126,0.003,0.0151,0.000625,0.000784,0.002741,-0.00012,0.002827,0.001916,0.006956,24.84,2.095233,21,28,199.332,39.726437,1.0,0.002741,0.002827,0.006956,0.003126,Прецизионные (3-5 мм)
QUIN,24,0.007458,0.004036,0.003,0.0198,0.000824,0.001604,0.003152,0.000704,0.004375,-0.002646,0.005877,19.875,2.893959,14,24,180.9375,41.586764,1.0,0.003152,0.004375,0.005877,0.004036,Прецизионные (3-5 мм)
RABT,20,0.01168,0.005303,0.0039,0.0232,0.001186,0.002695,0.002611,0.00273,0.005474,-0.007715,0.007563,24.55,2.999561,16,29,153.58,33.821771,1.0,0.002611,0.005474,0.007563,0.005303,Высокоточные (5-8 мм)
RAEG,24,0.011221,0.004246,0.0038,0.0198,0.000867,0.006879,0.005013,0.002479,0.00428,-0.002138,0.006767,22.875,1.848913,19,27,175.5875,28.22303,1.0,0.005013,0.00428,0.006767,0.004246,Прецизионные (3-5 мм)
REDU,25,0.008764,0.003362,0.0033,0.0157,0.000672,-0.003132,0.00302,0.003376,0.005068,-0.000684,0.005817,22.92,2.019076,17,26,177.476,48.866854,1.0,0.00302,0.005068,0.005817,0.003362,Прецизионные (3-5 мм)
REUN,24,0.011267,0.005313,0.0052,0.0228,0.001084,0.002129,0.004082,-0.00075,0.004097,0.003312,0.010505,21.541667,2.637178,16,26,156.05,54.942468,1.208333,0.004082,0.004097,0.010505,0.005313,Высокоточные (5-8 мм)
