station,n_meas,bias_N,skp_N,bias_E,skp_E,bias_U,skp_U,rms_3d,std_3d,mean_3d,nsat_mean,duration_mean,q_fix_ratio,skp_3D,category
PERT,33,-0.005358,0.003416,-0.00613,0.005029,0.011197,0.011441,0.018826,0.007765,0.017203,18.424242,114.054545,0.848485,0.007765,Пониженной точности (12-20 мм)
PGEN,11,0.006836,0.002739,-0.001382,0.002495,0.001073,0.006219,0.009861,0.002362,0.0096,21.454545,177.145455,1.0,0.002362,Средней точности (8-12 мм)
PICL,36,0.006383,0.003009,0.002906,0.003263,-0.006642,0.00706,0.012678,0.005086,0.011644,22.722222,195.391667,1.0,0.005086,Пониженной точности (12-20 мм)
PIE1,37,0.004714,0.001613,0.00203,0.003153,-0.005797,0.006608,0.010713,0.003486,0.010146,20.567568,174.832432,1.0,0.003486,Средней точности (8-12 мм)
PIMO,33,0.001918,0.002479,-0.003918,0.006146,-0.024839,0.010961,0.028166,0.010637,0.026145,18.363636,102.663636,0.939394,0.010637,Низкой точности (20-50 мм)
PNGM,7,0.001886,0.00368,0.001243,0.006265,0.013257,0.017244,0.021904,0.010052,0.019829,25.428571,205.885714,1.0,0.010052,Низкой точности (20-50 мм)
POAL,36,-0.003694,0.004497,-3.1e-05,0.003981,-0.000578,0.008505,0.010942,0.004491,0.010006,20.777778,170.211111,0.944444,0.004491,Средней точности (8-12 мм)
POL2,28,0.002171,0.001348,-0.001725,0.003254,-0.0133,0.004298,0.014648,0.004387,0.014,25.0,180.546429,1.0,0.004387,Пониженной точности (12-20 мм)
POLV,33,-0.000952,0.004356,0.00233,0.006784,-0.003158,0.009533,0.012939,0.006915,0.011003,22.939394,102.548485,1.0,0.006915,Пониженной точности (12-20 мм)
POTS,35,0.002797,0.004982,0.00286,0.004791,-0.01464,0.00708,0.018069,0.007589,0.016449,26.4,209.128571,1.0,0.007589,Пониженной точности (12-20 мм)
POVE,35,0.00302,0.003574,0.002054,0.005038,0.009889,0.008527,0.014813,0.005666,0.01372,24.114286,186.08,1.0,0.005666,Пониженной точности (12-20 мм)
PRDS,32,0.000612,0.002514,0.000412,0.003647,0.001219,0.008204,0.009302,0.004865,0.007975,22.1875,169.33125,1.0,0.004865,Средней точности (8-12 мм)
PTAG,20,0.003915,0.003886,-0.001005,0.006051,-0.011645,0.015197,0.020488,0.007762,0.01904,19.65,145.695,0.8,0.007762,Низкой точности (20-50 мм)
PTBB,35,0.003357,0.004418,0.0029,0.003874,-0.006931,0.007955,0.012751,0.004882,0.011809,23.971429,164.777143,1.0,0.004882,Пониженной точности (12-20 мм)
PTGG,34,0.001194,0.005693,0.000444,0.00785,-0.008429,0.006327,0.014237,0.006443,0.012744,22.0,175.867647,1.0,0.006443,Пониженной точности (12-20 мм)
QAQ1,36,0.000769,0.002537,-1.4e-05,0.002977,0.003456,0.00637,0.008186,0.00285,0.007689,24.888889,202.011111,1.0,0.00285,Средней точности (8-12 мм)
QUIN,34,0.001815,0.003268,0.000765,0.004832,-0.003106,0.005603,0.008785,0.004266,0.007715,20.264706,182.202941,1.0,0.004266,Средней точности (8-12 мм)
RABT,26,0.002827,0.002512,0.002812,0.005496,-0.0079,0.006751,0.012528,0.004939,0.011554,24.884615,156.934615,1.0,0.004939,Пониженной точности (12-20 мм)
RAEG,35,0.007597,0.004829,0.002831,0.004067,-0.002066,0.00641,0.012179,0.004042,0.011509,23.057143,173.988571,1.0,0.004042,Пониженной точности (12-20 мм)
REDU,35,-0.003017,0.00331,0.003703,0.005044,-0.001374,0.005589,0.009511,0.003172,0.008983,22.971429,185.548571,1.0,0.003172,Средней точности (8-12 мм)
REUN,33,0.002073,0.004104,-0.001073,0.003649,0.002467,0.009862,0.011632,0.004845,0.010609,21.545455,159.621212,0.969697,0.004845,Средней точности (8-12 мм)
