date,station,city,lat,lon,h_m,q,nsat,dN_m,dE_m,dU_m,r3d_m,status,duration_s
2025-01-01,SEVR,Северное,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,SEGE,Сегежа,63.75881010,34.28673795,129.2075,1,22,0.0159,0.0119,-0.1031,0.1050,ok,131.9
2025-01-01,SEMH,Сеймчан,62.93334696,152.38434607,228.4646,1,22,0.0290,0.0038,0.0301,0.0420,ok,124.6
2025-01-01,SAMR,Самара,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,181.0
2025-01-01,SVK2,Северо-Курильск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.6
2025-01-01,SYTO,Сытомино,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.1
2025-01-01,SPB2,С-Петербург,59.89064605,30.36148803,48.6767,1,14,0.0063,-0.0013,0.0212,0.0222,ok,80.3
2025-01-01,SLH1,Салехард,66.52902430,66.60633936,48.5594,1,23,0.0017,0.0052,-0.0195,0.0202,ok,174.0
2025-01-01,TRH1,Туруханск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.5
2025-01-01,TRH2,Туруханск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,SVK1,Северо-Курильск,50.66629828,156.11848396,46.0985,1,20,0.0155,-0.0260,-0.1319,0.1353,ok,108.8
2025-01-01,TUAP,Туапсе,44.10285314,39.03754627,111.0019,6,12,-0.2201,0.8839,-0.1691,0.9265,ok,14.6
2025-01-01,TILK,Тиличики,60.43862364,166.08958796,100.1328,1,20,-0.0226,0.0373,0.0205,0.0482,ok,137.4
2025-01-01,UFA1,Уфа,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,TIXG,Тикси,71.63447145,128.86643033,47.1378,1,24,-0.0035,0.0059,0.0727,0.0730,ok,147.6
2025-01-01,TURR,Тура,64.27144450,100.21571788,160.7157,1,23,-0.0173,0.0179,-0.1354,0.1377,ok,146.3
2025-01-01,USNR,Усть-Нера,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.3
2025-01-01,VANA,Ванавара,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.1
2025-01-01,TULN,Тулун,54.59601392,100.65583742,483.9827,1,23,0.0206,0.0084,-0.1349,0.1367,ok,178.4
2025-01-01,UFGS,Уварово,51.99910086,42.24247072,159.3967,1,21,0.0120,0.0109,-0.0935,0.0949,ok,151.0
2025-01-01,VLS2,Вилюйск,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,UNGN,Уньюган,61.95531881,64.93693715,99.2415,1,21,0.0195,-0.0100,-0.0389,0.0447,ok,180.8
2025-01-01,VOLG,Волгоград,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,7.4
2025-01-01,VLS1,Вилюйск,63.75300416,121.63531457,95.7943,1,23,-0.0020,0.0207,0.0047,0.0213,ok,171.8
2025-01-01,VLDV,Владивосток,43.35956625,132.19610386,90.1031,1,19,-0.0538,0.0478,-0.0107,0.0728,ok,176.9
2025-01-01,WAGI,Вагай,0.00000000,0.00000000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,no_obs,8.0
